0,1,2,3,4
9.45,2.07,1.55,4.88,17.95
6.71,1.92,1.4,4.01,14.04
5.72,2.59,1.9100000000000001,4.94,15.16
8.9,2.35,1.6800000000000002,6.62,19.55
8.79,2.22,1.57,6.54,19.12
7.3,2.1,1.21,6.09,16.7
6.16,2.12,2.37,5.55,16.2
7.92,2.31,2.09,6.2,18.52
8.69,1.92,1.37,5.14,17.12
1.22,2.08,1.5899999999999999,3.13,8.02
-2.83,2.35,2.37,2.96,4.85
-0.8300000000000001,2.52,3.79,3.63,9.11
7.0,2.13,3.68,3.99,16.8
3.43,1.9300000000000002,3.44,3.55,12.35
3.29,2.08,3.01,3.7,12.08
5.23,1.97,1.82,3.7,12.72
4.24,1.76,1.34,2.7,10.04
1.9100000000000001,1.99,1.25,2.94,8.09
3.06,1.9300000000000002,1.19,2.95,9.13
2.42,2.07,1.2,3.5300000000000002,9.22
2.87,1.8399999999999999,1.13,3.63,9.47
2.5300000000000002,1.8399999999999999,1.03,3.45,8.85
2.64,1.72,1.01,2.79,8.16
-0.43,1.74,1.26,2.26,4.83
2.5300000000000002,2.34,2.35,4.13,11.35
8.48,2.22,2.2,5.16,18.06
7.55,2.44,1.44,4.85,16.28
9.43,2.22,1.79,5.49,18.93
8.07,1.85,1.42,3.94,15.28
4.91,1.8599999999999999,1.26,3.9,11.93
1.03,3.43,1.8399999999999999,12.27,18.57
22.09,2.89,2.16,13.83,40.97
14.99,2.44,1.54,8.86,27.83
10.52,2.21,1.62,7.05,21.4
7.01,1.94,1.85,5.92,16.72
5.19,1.92,2.73,4.8100000000000005,14.65
3.2800000000000002,1.73,3.24,3.71,11.96
-0.58,1.9,3.44,4.54,9.3
2.68,1.73,3.83,4.89,13.13
-0.75,1.77,3.76,3.96,8.74
-1.78,2.17,4.63,4.13,9.15
3.4,2.04,2.95,3.79,12.18
1.11,1.77,1.6400000000000001,2.05,6.57
-2.33,2.26,1.53,1.67,3.13
-3.71,2.92,2.59,1.67,3.47
-4.52,3.39,4.26,1.67,4.8
-3.73,3.23,5.38,2.15,7.03
-3.2800000000000002,2.81,5.45,2.5,7.48
-1.58,2.49,5.32,2.2,8.43
-0.96,2.24,5.03,2.1,8.41
-0.71,2.18,4.91,2.0,8.38
-1.05,2.01,4.5600000000000005,1.9,7.42
-0.32,1.8,4.12,1.8,7.4
0.61,1.87,3.22,1.7000000000000002,7.4
2.02,1.9300000000000002,1.85,1.6,7.4
3.23,1.7000000000000002,0.97,1.5,7.4
3.43,1.6800000000000002,0.81,1.48,7.4
3.45,1.65,0.77,1.47,7.34
3.54,1.56,0.73,1.45,7.28
3.55,1.54,0.7000000000000001,1.43,7.22
3.48,1.53,0.73,1.4100000000000001,7.15
3.51,1.48,0.81,1.4,7.2
3.49,1.46,0.81,1.38,7.14
3.31,1.4100000000000001,0.8,1.3599999999999999,6.88
3.26,1.4,0.8,1.34,6.8
3.37,1.4,0.8,1.32,6.89
3.19,1.44,0.86,1.31,6.8
2.88,1.6099999999999999,1.06,1.3,6.85
2.99,1.6800000000000002,1.06,1.3,7.03
3.11,1.58,1.05,1.3,7.04
3.22,1.48,1.12,1.29,7.11
3.29,1.43,1.15,1.29,7.16
3.38,1.3900000000000001,1.1400000000000001,1.28,7.19
3.11,1.33,1.15,1.28,6.87
3.02,1.33,1.04,1.28,6.67
3.19,1.31,0.88,1.27,6.65
3.13,1.27,0.84,1.25,6.49
3.37,1.26,0.8300000000000001,1.19,6.65
3.94,1.26,0.85,1.12,7.17
