Name	Linge	Juvvashøe	Balestrand	Sandane
Eier	Met.no	Met.no	NIBIO	Met.no
Point ID	22	23	24	25
Network	Rstats	Rstats	Rstats	Rstats
RefSystem	utm-33n	utm-33n	utm-33n	utm-33n
HOH	34	1894	15	51
24.10.1981	-99	-99	-99	-99
25.10.1981	-99	-99	-99	-99
26.10.1981	-99	-99	-99	-99
27.10.1981	-99	-99	-99	-99
28.10.1981	-99	-99	-99	-99
29.10.1981	-99	-99	-99	-99
30.10.1981	-99	-99	-99	-99
31.10.1981	-99	-99	-99	-99
01.11.1981	-99	-99	-99	-99
02.11.1981	-99	-99	-99	-99
03.11.1981	-99	-99	-99	-99
04.11.1981	-99	-99	-99	-99
05.11.1981	-99	-99	-99	-99
06.11.1981	-99	-99	-99	-99
07.11.1981	-99	-99	-99	-99
08.11.1981	-99	-99	-99	-99
09.11.1981	-99	-99	-99	-99
10.11.1981	-99	-99	-99	-99
11.11.1981	-99	-99	-99	-99
12.11.1981	-99	-99	-99	-99
13.11.1981	-99	-99	-99	-99
14.11.1981	-99	-99	-99	-99
15.11.1981	-99	-99	-99	-99
16.11.1981	-99	-99	-99	-99
17.11.1981	-99	-99	-99	-99
18.11.1981	-99	-99	-99	-99
19.11.1981	-99	-99	-99	-99
20.11.1981	-99	-99	-99	-99
21.11.1981	-99	-99	-99	-99
22.11.1981	-99	-99	-99	-99
23.11.1981	-99	-99	-99	-99
24.11.1981	-99	-99	-99	-99
25.11.1981	-99	-99	-99	-99
26.11.1981	-99	-99	-99	-99
27.11.1981	-99	-99	-99	-99
28.11.1981	-99	-99	-99	-99
29.11.1981	-99	-99	-99	-99
